job_id,title,description,location_id,posted_by_user_id,required_category_id
job_00001,Experienced Math Tutor Needed,"Seeking an experienced math tutor for high school algebra and geometry. Flexible hours, evenings preferred. Must be patient and able to explain complex concepts clearly.

Location: Adrar
Category Focus: Tutoring (Math)

Details: Help student prepare for upcoming exams and improve overall understanding of mathematical principles.

Key Requirements: Strong math background, Previous tutoring experience, Good communication skills. This is a part-time gig.",1,user_1601,8
job_00002,Furniture Assembly for New Apartment,"Need help assembling flat-pack furniture (bed, desk, bookshelf) for a new apartment. Tools will be provided if you don't have your own.

Location: Chlef
Category Focus: Furniture Assembly

Details: Looking for someone with experience in assembling IKEA or similar furniture. Task should take a few hours.

Key Requirements: Experience with furniture assembly, Careful handling of items, Own transport. This is a one-time gig.",2,user_1602,5
job_00003,Physics Tutoring for University Student,"University student requires tutoring in introductory physics, focusing on mechanics and thermodynamics. Twice a week.

Location: Laghouat
Category Focus: Tutoring (Physics)

Details: Assist with problem sets, lab report understanding, and exam preparation for first-year physics course.

Key Requirements: Strong physics knowledge (university level), Tutoring experience, Ability to simplify concepts. This is a recurring gig.",3,user_1603,49
job_00004,Catering Assistance for Small Birthday Party,"Looking for an assistant for a small birthday party (approx 20 guests). Help with food prep, serving, and light cleanup.

Location: Oum El Bouaghi
Category Focus: Catering Assistance (Small Events)

Details: Event is on a Saturday evening. Need someone reliable and presentable for about 4-5 hours.

Key Requirements: Basic food handling, Friendly demeanor, Ability to follow instructions. This is a short-term gig.",4,user_1604,25
job_00005,Local Research Assistant for Market Study,"Seeking a research assistant to conduct local surveys and gather information for a market study on consumer habits.

Location: Batna
Category Focus: Research Assistant Specialist

Details: Involves approaching people for short questionnaires and recording responses accurately. Good for students.

Key Requirements: Good communication skills, Organized, Comfortable approaching strangers, Basic understanding of survey methods. This is a temporary gig.",5,user_1605,59
job_00006,Basic Video Editing for YouTube Channel,"Need someone to do basic video editing (cuts, text overlays, simple transitions) for a small YouTube channel. Short clips.

Location: Béjaïa
Category Focus: Video Editing (Basic)

Details: Editing short vlogs and tutorial videos. Quick turnaround needed for 2-3 videos per week.

Key Requirements: Basic video editing software proficiency (e.g., DaVinci Resolve, Premiere Rush), Attention to detail. This is an ongoing gig.",6,user_1601,46
job_00007,Elderly Care Companion Needed (Weekends),"Seeking a compassionate companion for an elderly individual on weekends. Light housekeeping and meal prep.

Location: Biskra
Category Focus: Elderly Care Assistance

Details: Provide companionship, assist with daily activities, and ensure safety. Saturday and Sunday, 4 hours each day.

Key Requirements: Patience, Empathy, Reliability, Experience with elderly care preferred. This is a part-time gig.",7,user_1606,22
job_00008,Mobile Phone Screen Repair,"My phone screen is cracked. Looking for someone experienced in mobile phone screen replacements for an iPhone model.

Location: Bechar
Category Focus: Mobile Phone Repair

Details: Need a quick and reliable repair for a common smartphone model. Please state your experience.

Key Requirements: Experience with phone screen repair, Own tools preferred, Careful workmanship. This is a one-time gig.",8,user_1607,30
job_00009,Chemistry Tutoring for Exam Prep,"High school student needs urgent help preparing for a chemistry final exam. Focus on organic chemistry.

Location: Blida
Category Focus: Tutoring (Chemistry) Specialist

Details: Intensive tutoring sessions needed over the next two weeks to cover key topics and practice problems.

Key Requirements: Strong chemistry background, Ability to explain difficult concepts, Exam preparation experience. This is a short-term gig.",9,user_1608,50
job_00010,Tailoring & Alterations for Wedding Dress,"Need minor alterations (hemming, take in sides) for a wedding dress. Must be experienced with delicate fabrics.

Location: Bouira
Category Focus: Tailoring & Alterations

Details: Requires precise work and attention to detail for a special occasion garment. Fittings will be necessary.

Key Requirements: Professional tailoring experience, Experience with bridal wear, Own sewing equipment. This is a specific project gig.",10,user_1609,31
