user_id,user_type,location_id,selected_category_ids
prof_0001,professional,3,76;79
prof_0002,professional,9,64
prof_0003,professional,11,5;7
prof_0004,professional,5,89;91;92;93
prof_0005,professional,15,2;4;5
prof_0006,professional,12,33
prof_0007,professional,1,35;37;38
prof_0008,professional,2,85;87;89
prof_0009,professional,13,76;78;80
prof_0010,professional,7,49;52
prof_0011,professional,13,21
prof_0012,professional,4,21
prof_0013,professional,4,99
prof_0014,professional,15,31
prof_0015,professional,4,59;60;61;62;64
prof_0016,professional,11,86;87;90
prof_0017,professional,15,7
prof_0018,professional,5,74
prof_0019,professional,15,32;34;35
prof_0020,professional,8,68;69
prof_0021,professional,7,46;49;50
prof_0022,professional,2,41;43;45
prof_0023,professional,5,17
prof_0024,professional,6,51;52
prof_0025,professional,14,31;33
prof_0026,professional,2,8;9
prof_0027,professional,5,33;36;37
prof_0028,professional,12,74;76;77
prof_0029,professional,12,64;66;67
prof_0030,professional,3,4;6;8
prof_0031,professional,5,46;48
prof_0032,professional,2,37;40
prof_0033,professional,1,53;56
prof_0034,professional,7,5;7;8
prof_0035,professional,4,94;96
prof_0036,professional,6,20;21;22;23
prof_0037,professional,10,96;97;99;100
prof_0038,professional,10,83;84;85;86
prof_0039,professional,15,31
prof_0040,professional,15,82;84;85;87
prof_0041,professional,9,91;92;93;94
prof_0042,professional,8,69;71;74
prof_0043,professional,5,39
prof_0044,professional,9,70;71;72;73
prof_0045,professional,10,51;52
prof_0046,professional,11,71;74;76
prof_0047,professional,1,8;10;12;13
prof_0048,professional,14,15;16;19
prof_0049,professional,7,23;26;27;29
prof_0050,professional,9,49;50;52
prof_0051,professional,2,31;32
prof_0052,professional,13,62;65
prof_0053,professional,3,32;35;37;38
prof_0054,professional,11,7;8;9
prof_0055,professional,6,1;3
prof_0056,professional,5,52
prof_0057,professional,9,87;88
prof_0058,professional,13,60;63
prof_0059,professional,1,85;86;87;89
prof_0060,professional,12,61;63;64
prof_0061,professional,6,72;73
prof_0062,professional,5,34;36;37
prof_0063,professional,2,16;18;19;20;22
prof_0064,professional,11,88
prof_0065,professional,14,100
prof_0066,professional,2,29;31;32;34;35
prof_0067,professional,4,82;85;88
prof_0068,professional,8,74;77
prof_0069,professional,2,46
prof_0070,professional,13,68;70;71
prof_0071,professional,2,96;99
prof_0072,professional,12,80;83
prof_0073,professional,13,75;76;79
prof_0074,professional,10,53;55
prof_0075,professional,12,55;56;57;58
prof_0076,professional,2,86;88;89
prof_0077,professional,10,15;17;20
prof_0078,professional,1,59;61;62
prof_0079,professional,14,38;39;41;42
prof_0080,professional,14,27
prof_0081,professional,3,60;63
prof_0082,professional,7,34
prof_0083,professional,5,78;80;82
prof_0084,professional,8,4;5;7;8;10
prof_0085,professional,8,91;92;94;95
prof_0086,professional,13,63;66
prof_0087,professional,12,5;6;8;11
prof_0088,professional,3,66;69
prof_0089,professional,1,53;54;55;56
prof_0090,professional,12,44;47;48;50
prof_0091,professional,1,89;91;92;93;95
prof_0092,professional,6,40
prof_0093,professional,5,55;56
prof_0094,professional,12,82
prof_0095,professional,12,75;76;77;78;80
prof_0096,professional,5,69;72;75
prof_0097,professional,10,61;63
prof_0098,professional,5,56;58
prof_0099,professional,6,63;65;66;67
prof_0100,professional,1,40;42
prof_0101,professional,10,38
prof_0102,professional,4,50;51;53;54
prof_0103,professional,1,23
prof_0104,professional,9,94
prof_0105,professional,12,42;43;45
prof_0106,professional,10,74;75;77;78
prof_0107,professional,10,7;8;9;10;11
prof_0108,professional,6,87
prof_0109,professional,6,45;47;48;51
prof_0110,professional,7,10
prof_0111,professional,11,3;5;6
prof_0112,professional,5,26;27;28;30
prof_0113,professional,4,2;3;4;6
prof_0114,professional,4,10;12;13
prof_0115,professional,9,15;16
prof_0116,professional,4,73;75
prof_0117,professional,1,71;72;73;74
prof_0118,professional,13,60;63;66
prof_0119,professional,8,34;35
prof_0120,professional,11,69;70;72;74
prof_0121,professional,1,76;77;78;79
prof_0122,professional,8,30
prof_0123,professional,15,53;55
prof_0124,professional,13,82;84;85;86
prof_0125,professional,2,50
prof_0126,professional,4,77;79;80
prof_0127,professional,5,86
prof_0128,professional,6,17
prof_0129,professional,13,49;52;53
prof_0130,professional,13,46;47;48;50
prof_0131,professional,10,84;87
prof_0132,professional,3,88;90
prof_0133,professional,4,11;12
prof_0134,professional,4,15;17
prof_0135,professional,4,22
prof_0136,professional,1,69
prof_0137,professional,15,69;70;71;73
prof_0138,professional,13,96;98;99
prof_0139,professional,9,92;93;95;96
prof_0140,professional,14,49;50;51;52
prof_0141,professional,14,62
prof_0142,professional,6,16;18;19
prof_0143,professional,15,26;28;29
prof_0144,professional,11,15;17;18;20
prof_0145,professional,1,74
prof_0146,professional,2,18;20;21
prof_0147,professional,6,82;85;87;88
prof_0148,professional,2,87;88;89;90
prof_0149,professional,9,33
