job_id,description_mission_anglais,categorie_mission
job_0,Detailed job description for job 0,Teaching
job_1,Detailed job description for job 1,Moving
job_2,Detailed job description for job 2,Cleaning
job_3,Detailed job description for job 3,Cleaning
job_4,Detailed job description for job 4,Cleaning
job_5,Detailed job description for job 5,Painting
job_6,Detailed job description for job 6,Teaching
job_7,Detailed job description for job 7,Moving
job_8,Detailed job description for job 8,Teaching
job_9,Detailed job description for job 9,Teaching
job_10,Detailed job description for job 10,Teaching
job_11,Detailed job description for job 11,Cleaning
job_12,Detailed job description for job 12,Pet Care
job_13,Detailed job description for job 13,Pet Care
job_14,Detailed job description for job 14,Cleaning
job_15,Detailed job description for job 15,Painting
job_16,Detailed job description for job 16,Moving
job_17,Detailed job description for job 17,Moving
job_18,Detailed job description for job 18,Cleaning
job_19,Detailed job description for job 19,Teaching
job_20,Detailed job description for job 20,Cleaning
job_21,Detailed job description for job 21,Teaching
job_22,Detailed job description for job 22,Gardening
job_23,Detailed job description for job 23,Moving
job_24,Detailed job description for job 24,Cleaning
job_25,Detailed job description for job 25,Cleaning
job_26,Detailed job description for job 26,Pet Care
job_27,Detailed job description for job 27,Gardening
job_28,Detailed job description for job 28,Gardening
job_29,Detailed job description for job 29,Moving
job_30,Detailed job description for job 30,Teaching
job_31,Detailed job description for job 31,Painting
job_32,Detailed job description for job 32,Teaching
job_33,Detailed job description for job 33,Pet Care
job_34,Detailed job description for job 34,Painting
job_35,Detailed job description for job 35,Cleaning
job_36,Detailed job description for job 36,Teaching
job_37,Detailed job description for job 37,Painting
job_38,Detailed job description for job 38,Moving
job_39,Detailed job description for job 39,Pet Care
job_40,Detailed job description for job 40,Teaching
job_41,Detailed job description for job 41,Painting
job_42,Detailed job description for job 42,Cleaning
job_43,Detailed job description for job 43,Painting
job_44,Detailed job description for job 44,Cleaning
job_45,Detailed job description for job 45,Cleaning
job_46,Detailed job description for job 46,Gardening
job_47,Detailed job description for job 47,Pet Care
job_48,Detailed job description for job 48,Painting
job_49,Detailed job description for job 49,Painting
job_50,Detailed job description for job 50,Teaching
job_51,Detailed job description for job 51,Teaching
job_52,Detailed job description for job 52,Pet Care
job_53,Detailed job description for job 53,Gardening
job_54,Detailed job description for job 54,Pet Care
job_55,Detailed job description for job 55,Moving
job_56,Detailed job description for job 56,Cleaning
job_57,Detailed job description for job 57,Teaching
job_58,Detailed job description for job 58,Moving
job_59,Detailed job description for job 59,Gardening
job_60,Detailed job description for job 60,Pet Care
job_61,Detailed job description for job 61,Cleaning
job_62,Detailed job description for job 62,Pet Care
job_63,Detailed job description for job 63,Teaching
job_64,Detailed job description for job 64,Painting
job_65,Detailed job description for job 65,Painting
job_66,Detailed job description for job 66,Moving
job_67,Detailed job description for job 67,Gardening
job_68,Detailed job description for job 68,Teaching
job_69,Detailed job description for job 69,Teaching
job_70,Detailed job description for job 70,Painting
job_71,Detailed job description for job 71,Painting
job_72,Detailed job description for job 72,Moving
job_73,Detailed job description for job 73,Teaching
job_74,Detailed job description for job 74,Gardening
job_75,Detailed job description for job 75,Cleaning
job_76,Detailed job description for job 76,Moving
job_77,Detailed job description for job 77,Moving
job_78,Detailed job description for job 78,Teaching
job_79,Detailed job description for job 79,Cleaning
job_80,Detailed job description for job 80,Pet Care
job_81,Detailed job description for job 81,Cleaning
job_82,Detailed job description for job 82,Teaching
job_83,Detailed job description for job 83,Moving
job_84,Detailed job description for job 84,Cleaning
job_85,Detailed job description for job 85,Painting
job_86,Detailed job description for job 86,Moving
job_87,Detailed job description for job 87,Moving
job_88,Detailed job description for job 88,Painting
job_89,Detailed job description for job 89,Gardening
job_90,Detailed job description for job 90,Cleaning
job_91,Detailed job description for job 91,Cleaning
job_92,Detailed job description for job 92,Moving
job_93,Detailed job description for job 93,Pet Care
job_94,Detailed job description for job 94,Pet Care
job_95,Detailed job description for job 95,Gardening
job_96,Detailed job description for job 96,Pet Care
job_97,Detailed job description for job 97,Gardening
job_98,Detailed job description for job 98,Moving
job_99,Detailed job description for job 99,Cleaning
job_100,Detailed job description for job 100,Painting
job_101,Detailed job description for job 101,Cleaning
job_102,Detailed job description for job 102,Teaching
job_103,Detailed job description for job 103,Moving
job_104,Detailed job description for job 104,Moving
job_105,Detailed job description for job 105,Pet Care
job_106,Detailed job description for job 106,Pet Care
job_107,Detailed job description for job 107,Cleaning
job_108,Detailed job description for job 108,Teaching
job_109,Detailed job description for job 109,Moving
job_110,Detailed job description for job 110,Cleaning
job_111,Detailed job description for job 111,Cleaning
job_112,Detailed job description for job 112,Cleaning
job_113,Detailed job description for job 113,Painting
job_114,Detailed job description for job 114,Cleaning
job_115,Detailed job description for job 115,Teaching
job_116,Detailed job description for job 116,Teaching
job_117,Detailed job description for job 117,Teaching
job_118,Detailed job description for job 118,Gardening
job_119,Detailed job description for job 119,Moving
job_120,Detailed job description for job 120,Painting
job_121,Detailed job description for job 121,Painting
job_122,Detailed job description for job 122,Painting
job_123,Detailed job description for job 123,Teaching
job_124,Detailed job description for job 124,Teaching
job_125,Detailed job description for job 125,Gardening
job_126,Detailed job description for job 126,Teaching
job_127,Detailed job description for job 127,Cleaning
job_128,Detailed job description for job 128,Cleaning
job_129,Detailed job description for job 129,Gardening
job_130,Detailed job description for job 130,Teaching
job_131,Detailed job description for job 131,Pet Care
job_132,Detailed job description for job 132,Painting
job_133,Detailed job description for job 133,Moving
job_134,Detailed job description for job 134,Painting
job_135,Detailed job description for job 135,Moving
job_136,Detailed job description for job 136,Painting
job_137,Detailed job description for job 137,Teaching
job_138,Detailed job description for job 138,Cleaning
job_139,Detailed job description for job 139,Gardening
job_140,Detailed job description for job 140,Painting
job_141,Detailed job description for job 141,Moving
job_142,Detailed job description for job 142,Painting
job_143,Detailed job description for job 143,Moving
job_144,Detailed job description for job 144,Painting
job_145,Detailed job description for job 145,Moving
job_146,Detailed job description for job 146,Pet Care
job_147,Detailed job description for job 147,Moving
job_148,Detailed job description for job 148,Moving
job_149,Detailed job description for job 149,Teaching
job_150,Detailed job description for job 150,Teaching
job_151,Detailed job description for job 151,Gardening
job_152,Detailed job description for job 152,Gardening
job_153,Detailed job description for job 153,Pet Care
job_154,Detailed job description for job 154,Gardening
job_155,Detailed job description for job 155,Pet Care
job_156,Detailed job description for job 156,Painting
job_157,Detailed job description for job 157,Moving
job_158,Detailed job description for job 158,Pet Care
job_159,Detailed job description for job 159,Teaching
job_160,Detailed job description for job 160,Painting
job_161,Detailed job description for job 161,Moving
job_162,Detailed job description for job 162,Moving
job_163,Detailed job description for job 163,Moving
job_164,Detailed job description for job 164,Pet Care
job_165,Detailed job description for job 165,Gardening
job_166,Detailed job description for job 166,Painting
job_167,Detailed job description for job 167,Painting
job_168,Detailed job description for job 168,Pet Care
job_169,Detailed job description for job 169,Moving
job_170,Detailed job description for job 170,Teaching
job_171,Detailed job description for job 171,Moving
job_172,Detailed job description for job 172,Painting
job_173,Detailed job description for job 173,Painting
job_174,Detailed job description for job 174,Moving
job_175,Detailed job description for job 175,Teaching
job_176,Detailed job description for job 176,Moving
job_177,Detailed job description for job 177,Pet Care
job_178,Detailed job description for job 178,Painting
job_179,Detailed job description for job 179,Pet Care
job_180,Detailed job description for job 180,Moving
job_181,Detailed job description for job 181,Cleaning
job_182,Detailed job description for job 182,Teaching
job_183,Detailed job description for job 183,Gardening
job_184,Detailed job description for job 184,Pet Care
job_185,Detailed job description for job 185,Painting
job_186,Detailed job description for job 186,Pet Care
job_187,Detailed job description for job 187,Teaching
job_188,Detailed job description for job 188,Teaching
job_189,Detailed job description for job 189,Cleaning
job_190,Detailed job description for job 190,Moving
job_191,Detailed job description for job 191,Gardening
job_192,Detailed job description for job 192,Cleaning
job_193,Detailed job description for job 193,Pet Care
job_194,Detailed job description for job 194,Painting
job_195,Detailed job description for job 195,Cleaning
job_196,Detailed job description for job 196,Moving
job_197,Detailed job description for job 197,Moving
job_198,Detailed job description for job 198,Moving
job_199,Detailed job description for job 199,Cleaning
job_200,Detailed job description for job 200,Moving
job_201,Detailed job description for job 201,Gardening
job_202,Detailed job description for job 202,Moving
job_203,Detailed job description for job 203,Moving
job_204,Detailed job description for job 204,Gardening
job_205,Detailed job description for job 205,Teaching
job_206,Detailed job description for job 206,Painting
job_207,Detailed job description for job 207,Cleaning
job_208,Detailed job description for job 208,Cleaning
job_209,Detailed job description for job 209,Painting
job_210,Detailed job description for job 210,Pet Care
job_211,Detailed job description for job 211,Moving
