user_id,job_id,rating_explicite,commentaire_texte_anglais,sentiment_score,sentiment_label,normalized_rating,normalized_sentiment,enhanced_rating
user_123,job_427,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_571,job_270,3.0,Comment for job 1,0.7208349704742432,POSITIVE,0.5,0.8604174852371216,0.6081252455711365
user_906,job_292,1.0,,0.0,NEUTRAL,0.0,0.5,0.15
user_191,job_102,4.0,Comment for job 3,0.6772105693817139,POSITIVE,0.75,0.8386052846908569,0.776581585407257
user_637,job_194,4.0,Comment for job 4,0.7231979966163635,POSITIVE,0.75,0.8615989983081818,0.7834796994924544
user_910,job_246,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_642,job_367,2.0,,0.0,NEUTRAL,0.25,0.5,0.32499999999999996
user_711,job_336,,,0.0,NEUTRAL,,0.5,0.5
user_72,job_420,2.0,Comment for job 8,0.6148268580436707,POSITIVE,0.25,0.8074134290218353,0.41722402870655056
user_496,job_394,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_144,job_315,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_907,job_442,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_190,job_181,,,0.0,NEUTRAL,,0.5,0.5
user_392,job_330,5.0,Comment for job 13,0.653679609298706,POSITIVE,1.0,0.826839804649353,0.9480519413948059
user_113,job_451,,Comment for job 14,0.6591464877128601,POSITIVE,,0.82957324385643,0.598871973156929
user_463,job_112,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_586,job_293,,,0.0,NEUTRAL,,0.5,0.5
user_770,job_37,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_801,job_192,1.0,,0.0,NEUTRAL,0.0,0.5,0.15
user_385,job_124,2.0,,0.0,NEUTRAL,0.25,0.5,0.32499999999999996
user_115,job_351,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_894,job_77,2.0,Comment for job 21,0.5340386629104614,POSITIVE,0.25,0.7670193314552307,0.4051057994365692
user_375,job_36,,,0.0,NEUTRAL,,0.5,0.5
user_812,job_250,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_612,job_148,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_199,job_23,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_494,job_92,1.0,Comment for job 26,0.5989598631858826,POSITIVE,0.0,0.7994799315929413,0.23984397947788239
user_929,job_55,,,0.0,NEUTRAL,,0.5,0.5
user_69,job_226,3.0,Comment for job 28,0.5067260265350342,POSITIVE,0.5,0.7533630132675171,0.5760089039802551
user_562,job_387,5.0,Comment for job 29,-0.6196843385696411,NEGATIVE,1.0,0.19015783071517944,0.7570473492145537
user_892,job_408,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_465,job_376,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_562,job_452,4.0,Comment for job 32,-0.7720394134521484,NEGATIVE,0.75,0.11398029327392578,0.5591940879821776
user_988,job_196,,,0.0,NEUTRAL,,0.5,0.5
user_421,job_197,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_215,job_4,,,0.0,NEUTRAL,,0.5,0.5
user_827,job_167,,Comment for job 36,-0.7581430077552795,NEGATIVE,,0.12092849612236023,0.38627854883670804
user_46,job_193,2.0,,0.0,NEUTRAL,0.25,0.5,0.32499999999999996
user_686,job_6,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_521,job_44,2.0,,0.0,NEUTRAL,0.25,0.5,0.32499999999999996
