user_id,job_id,rating_explicite,commentaire_texte_anglais,sentiment_score,sentiment_label,normalized_rating,normalized_sentiment,enhanced_rating
user_894,job_434,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_509,job_203,4.0,Exceptional skills in home services. The job was completed ahead of schedule.,0.9995953440666199,POSITIVE,0.75,0.9997976720333099,0.8249393016099928
user_734,job_316,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_257,job_72,4.0,Very pleased with the results. Expert in Airport pickup with fair pricing.,0.9997348189353943,POSITIVE,0.75,0.9998674094676971,0.824960222840309
user_975,job_229,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_821,job_205,,,0.0,NEUTRAL,,0.5,0.5
user_772,job_409,,,0.0,NEUTRAL,,0.5,0.5
user_637,job_342,3.0,Average work for home services. Could improve on timeliness.,-0.9956821203231812,NEGATIVE,0.5,0.002158939838409424,0.3506476819515228
user_388,job_482,,,0.0,NEUTRAL,,0.5,0.5
user_412,job_193,,,0.0,NEUTRAL,,0.5,0.5
user_307,job_429,4.0,Very pleased with the results. Expert in City tours with fair pricing.,0.9998582601547241,POSITIVE,0.75,0.9999291300773621,0.8249787390232085
user_182,job_390,4.0,Exceptional skills in transportation. The job was completed ahead of schedule.,0.9996707439422607,POSITIVE,0.75,0.9998353719711304,0.824950611591339
user_180,job_332,,,0.0,NEUTRAL,,0.5,0.5
user_334,job_98,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_365,job_290,,,0.0,NEUTRAL,,0.5,0.5
user_308,job_327,1.0,,0.0,NEUTRAL,0.0,0.5,0.15
user_574,job_67,,,0.0,NEUTRAL,,0.5,0.5
user_746,job_367,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_962,job_400,4.0,The quality of work was outstanding. I'll definitely hire again for Car mechanics.,0.9998433589935303,POSITIVE,0.75,0.9999216794967651,0.8249765038490294
user_325,job_368,1.0,,0.0,NEUTRAL,0.0,0.5,0.15
user_624,job_371,,,0.0,NEUTRAL,,0.5,0.5
user_669,job_20,,,0.0,NEUTRAL,,0.5,0.5
user_973,job_80,4.0,Excellent communication and service. Best maintenance & repairs professional in Relizane.,0.9998223185539246,POSITIVE,0.75,0.9999111592769623,0.8249733477830885
user_704,job_111,,,0.0,NEUTRAL,,0.5,0.5
user_242,job_315,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_654,job_490,,,0.0,NEUTRAL,,0.5,0.5
user_245,job_94,4.0,Professional and courteous. Completed the Computer skills training work perfectly.,0.99983811378479,POSITIVE,0.75,0.999919056892395,0.8249757170677183
user_517,job_497,5.0,Excellent service for City tours. Very professional and punctual.,0.9998157620429993,POSITIVE,1.0,0.9999078810214996,0.9999723643064498
user_690,job_451,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_32,job_262,,,0.0,NEUTRAL,,0.5,0.5
user_65,job_366,5.0,Very satisfied with the Cooking lessons service. Fast and efficient.,0.9998300075531006,POSITIVE,1.0,0.9999150037765503,0.999974501132965
user_225,job_425,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_983,job_57,,,0.0,NEUTRAL,,0.5,0.5
user_503,job_58,,,0.0,NEUTRAL,,0.5,0.5
user_645,job_381,4.0,The quality of work was outstanding. I'll definitely hire again for Website development.,0.9998365640640259,POSITIVE,0.75,0.9999182820320129,0.8249754846096038
user_274,job_64,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_919,job_272,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_260,job_490,2.0,,0.0,NEUTRAL,0.25,0.5,0.32499999999999996
user_818,job_329,,,0.0,NEUTRAL,,0.5,0.5
user_762,job_73,4.0,Excellent service for Event decoration. Very professional and punctual.,0.999757707118988,POSITIVE,0.75,0.999878853559494,0.8249636560678482
user_137,job_307,4.0,Professional and courteous. Completed the Plant care work perfectly.,0.9998675584793091,POSITIVE,0.75,0.9999337792396545,0.8249801337718963
user_2,job_417,,,0.0,NEUTRAL,,0.5,0.5
user_490,job_9,4.0,The quality of work was outstanding. I'll definitely hire again for Science tutoring.,0.9998290538787842,POSITIVE,0.75,0.9999145269393921,0.8249743580818175
user_949,job_443,,,0.0,NEUTRAL,,0.5,0.5
user_571,job_491,,,0.0,NEUTRAL,,0.5,0.5
user_467,job_44,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_574,job_180,,,0.0,NEUTRAL,,0.5,0.5
user_937,job_105,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_662,job_375,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_785,job_320,,,0.0,NEUTRAL,,0.5,0.5
user_868,job_443,,,0.0,NEUTRAL,,0.5,0.5
user_606,job_269,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_965,job_93,5.0,The quality of work was outstanding. I'll definitely hire again for Jewelry making.,0.9998613595962524,POSITIVE,1.0,0.9999306797981262,0.9999792039394377
user_488,job_283,3.0,Decent work but took longer than expected for Website development completion.,-0.9759483337402344,NEGATIVE,0.5,0.012025833129882812,0.3536077499389648
user_68,job_225,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_603,job_304,,,0.0,NEUTRAL,,0.5,0.5
user_813,job_317,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_14,job_377,,,0.0,NEUTRAL,,0.5,0.5
user_372,job_148,5.0,Excellent communication and service. Best events & celebrations professional in Skikda.,0.9998618364334106,POSITIVE,1.0,0.9999309182167053,0.9999792754650115
user_59,job_329,3.0,,0.0,NEUTRAL,0.5,0.5,0.5
user_44,job_414,,,0.0,NEUTRAL,,0.5,0.5
user_69,job_93,,,0.0,NEUTRAL,,0.5,0.5
user_656,job_487,5.0,Very pleased with the results. Expert in Home chef services with fair pricing.,0.9998433589935303,POSITIVE,1.0,0.9999216794967651,0.9999765038490295
user_656,job_173,4.0,Very pleased with the results. Expert in Home renovation with fair pricing.,0.9998574256896973,POSITIVE,0.75,0.9999287128448486,0.8249786138534545
user_322,job_240,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_825,job_455,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_755,job_495,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_527,job_169,4.0,Very satisfied with the Computer skills training service. Fast and efficient.,0.9998273849487305,POSITIVE,0.75,0.9999136924743652,0.8249741077423094
user_748,job_32,3.0,Decent work but took longer than expected for Science tutoring completion.,-0.972499668598175,NEGATIVE,0.5,0.013750165700912476,0.3541250497102737
user_994,job_161,,,0.0,NEUTRAL,,0.5,0.5
user_501,job_97,,,0.0,NEUTRAL,,0.5,0.5
user_271,job_317,2.0,Decent work but took longer than expected for Pottery services completion.,-0.968845009803772,NEGATIVE,0.25,0.015577495098114014,0.1796732485294342
user_615,job_194,5.0,The quality of work was outstanding. I'll definitely hire again for Bicycle repair.,0.9997783303260803,POSITIVE,1.0,0.9998891651630402,0.999966749548912
user_584,job_177,,,0.0,NEUTRAL,,0.5,0.5
user_212,job_439,4.0,Very satisfied with the Airport pickup service. Fast and efficient.,0.9997642636299133,POSITIVE,0.75,0.9998821318149567,0.824964639544487
user_281,job_17,4.0,Exceptional skills in agriculture & gardening. The job was completed ahead of schedule.,0.9996532201766968,POSITIVE,0.75,0.9998266100883484,0.8249479830265044
user_697,job_449,3.0,Acceptable service in Djanet. Some minor issues but overall okay.,0.9985535740852356,POSITIVE,0.5,0.9992767870426178,0.6497830361127853
user_999,job_279,4.0,Great work in Chlef! Would recommend to others looking for teaching & education services.,0.9993941783905029,POSITIVE,0.75,0.9996970891952515,0.8249091267585753
user_458,job_135,5.0,Excellent communication and service. Best maintenance & repairs professional in Khenchela.,0.9998254179954529,POSITIVE,1.0,0.9999127089977264,0.9999738126993178
user_766,job_353,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_498,job_377,4.0,Professional and courteous. Completed the E-commerce setup work perfectly.,0.9998235106468201,POSITIVE,0.75,0.99991175532341,0.8249735265970228
user_1,job_347,5.0,Excellent communication and service. Best transportation professional in Jijel.,0.9998517036437988,POSITIVE,1.0,0.9999258518218994,0.9999777555465698
user_740,job_132,5.0,Very pleased with the results. Expert in Traditional bread baking with fair pricing.,0.9998513460159302,POSITIVE,1.0,0.9999256730079651,0.9999777019023894
user_126,job_102,3.0,Reasonable quality work. Some aspects of the Henna art could be better.,0.997890293598175,POSITIVE,0.5,0.9989451467990875,0.6496835440397262
user_94,job_398,,,0.0,NEUTRAL,,0.5,0.5
user_675,job_74,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_71,job_203,,,0.0,NEUTRAL,,0.5,0.5
user_317,job_496,,,0.0,NEUTRAL,,0.5,0.5
user_647,job_316,,,0.0,NEUTRAL,,0.5,0.5
user_296,job_134,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
user_268,job_144,5.0,,0.0,NEUTRAL,1.0,0.5,0.85
user_696,job_356,4.0,,0.0,NEUTRAL,0.75,0.5,0.6749999999999999
